fieldbridge_id	source_dataset	pair_id	modality	field_strength	paired_field_strength	relative_path	split_group
ADNI_T1W_0424	adni	ADNI_T1W_0424	T1W	1.5T	3T	data/adni/ADNI_T1W_0424/ADNI_T1W_0424_T1W_1.5T.nii.gz	adni:ADNI_T1W_0424
ADNI_T1W_0424	adni	ADNI_T1W_0424	T1W	3T	1.5T	data/adni/ADNI_T1W_0424/ADNI_T1W_0424_T1W_3T.nii.gz	adni:ADNI_T1W_0424
ADNI_T1W_0425	adni	ADNI_T1W_0425	T1W	1.5T	3T	data/adni/ADNI_T1W_0425/ADNI_T1W_0425_T1W_1.5T.nii.gz	adni:ADNI_T1W_0425
ADNI_T1W_0425	adni	ADNI_T1W_0425	T1W	3T	1.5T	data/adni/ADNI_T1W_0425/ADNI_T1W_0425_T1W_3T.nii.gz	adni:ADNI_T1W_0425
ADNI_T1W_0426	adni	ADNI_T1W_0426	T1W	1.5T	3T	data/adni/ADNI_T1W_0426/ADNI_T1W_0426_T1W_1.5T.nii.gz	adni:ADNI_T1W_0426
ADNI_T1W_0426	adni	ADNI_T1W_0426	T1W	3T	1.5T	data/adni/ADNI_T1W_0426/ADNI_T1W_0426_T1W_3T.nii.gz	adni:ADNI_T1W_0426
ADNI_T1W_0427	adni	ADNI_T1W_0427	T1W	1.5T	3T	data/adni/ADNI_T1W_0427/ADNI_T1W_0427_T1W_1.5T.nii.gz	adni:ADNI_T1W_0427
ADNI_T1W_0427	adni	ADNI_T1W_0427	T1W	3T	1.5T	data/adni/ADNI_T1W_0427/ADNI_T1W_0427_T1W_3T.nii.gz	adni:ADNI_T1W_0427
ADNI_T1W_0428	adni	ADNI_T1W_0428	T1W	1.5T	3T	data/adni/ADNI_T1W_0428/ADNI_T1W_0428_T1W_1.5T.nii.gz	adni:ADNI_T1W_0428
ADNI_T1W_0428	adni	ADNI_T1W_0428	T1W	3T	1.5T	data/adni/ADNI_T1W_0428/ADNI_T1W_0428_T1W_3T.nii.gz	adni:ADNI_T1W_0428
ADNI_T1W_0429	adni	ADNI_T1W_0429	T1W	1.5T	3T	data/adni/ADNI_T1W_0429/ADNI_T1W_0429_T1W_1.5T.nii.gz	adni:ADNI_T1W_0429
ADNI_T1W_0429	adni	ADNI_T1W_0429	T1W	3T	1.5T	data/adni/ADNI_T1W_0429/ADNI_T1W_0429_T1W_3T.nii.gz	adni:ADNI_T1W_0429
ADNI_T1W_0430	adni	ADNI_T1W_0430	T1W	1.5T	3T	data/adni/ADNI_T1W_0430/ADNI_T1W_0430_T1W_1.5T.nii.gz	adni:ADNI_T1W_0430
ADNI_T1W_0430	adni	ADNI_T1W_0430	T1W	3T	1.5T	data/adni/ADNI_T1W_0430/ADNI_T1W_0430_T1W_3T.nii.gz	adni:ADNI_T1W_0430
ADNI_T1W_0431	adni	ADNI_T1W_0431	T1W	1.5T	3T	data/adni/ADNI_T1W_0431/ADNI_T1W_0431_T1W_1.5T.nii.gz	adni:ADNI_T1W_0431
ADNI_T1W_0431	adni	ADNI_T1W_0431	T1W	3T	1.5T	data/adni/ADNI_T1W_0431/ADNI_T1W_0431_T1W_3T.nii.gz	adni:ADNI_T1W_0431
ADNI_T1W_0432	adni	ADNI_T1W_0432	T1W	1.5T	3T	data/adni/ADNI_T1W_0432/ADNI_T1W_0432_T1W_1.5T.nii.gz	adni:ADNI_T1W_0432
ADNI_T1W_0432	adni	ADNI_T1W_0432	T1W	3T	1.5T	data/adni/ADNI_T1W_0432/ADNI_T1W_0432_T1W_3T.nii.gz	adni:ADNI_T1W_0432
ADNI_T1W_0433	adni	ADNI_T1W_0433	T1W	1.5T	3T	data/adni/ADNI_T1W_0433/ADNI_T1W_0433_T1W_1.5T.nii.gz	adni:ADNI_T1W_0433
ADNI_T1W_0433	adni	ADNI_T1W_0433	T1W	3T	1.5T	data/adni/ADNI_T1W_0433/ADNI_T1W_0433_T1W_3T.nii.gz	adni:ADNI_T1W_0433
ADNI_T1W_0434	adni	ADNI_T1W_0434	T1W	1.5T	3T	data/adni/ADNI_T1W_0434/ADNI_T1W_0434_T1W_1.5T.nii.gz	adni:ADNI_T1W_0434
ADNI_T1W_0434	adni	ADNI_T1W_0434	T1W	3T	1.5T	data/adni/ADNI_T1W_0434/ADNI_T1W_0434_T1W_3T.nii.gz	adni:ADNI_T1W_0434
ADNI_T1W_0435	adni	ADNI_T1W_0435	T1W	1.5T	3T	data/adni/ADNI_T1W_0435/ADNI_T1W_0435_T1W_1.5T.nii.gz	adni:ADNI_T1W_0435
ADNI_T1W_0435	adni	ADNI_T1W_0435	T1W	3T	1.5T	data/adni/ADNI_T1W_0435/ADNI_T1W_0435_T1W_3T.nii.gz	adni:ADNI_T1W_0435
ADNI_T1W_0436	adni	ADNI_T1W_0436	T1W	1.5T	3T	data/adni/ADNI_T1W_0436/ADNI_T1W_0436_T1W_1.5T.nii.gz	adni:ADNI_T1W_0436
ADNI_T1W_0436	adni	ADNI_T1W_0436	T1W	3T	1.5T	data/adni/ADNI_T1W_0436/ADNI_T1W_0436_T1W_3T.nii.gz	adni:ADNI_T1W_0436
ADNI_T1W_0437	adni	ADNI_T1W_0437	T1W	1.5T	3T	data/adni/ADNI_T1W_0437/ADNI_T1W_0437_T1W_1.5T.nii.gz	adni:ADNI_T1W_0437
ADNI_T1W_0437	adni	ADNI_T1W_0437	T1W	3T	1.5T	data/adni/ADNI_T1W_0437/ADNI_T1W_0437_T1W_3T.nii.gz	adni:ADNI_T1W_0437
ADNI_T1W_0438	adni	ADNI_T1W_0438	T1W	1.5T	3T	data/adni/ADNI_T1W_0438/ADNI_T1W_0438_T1W_1.5T.nii.gz	adni:ADNI_T1W_0438
ADNI_T1W_0438	adni	ADNI_T1W_0438	T1W	3T	1.5T	data/adni/ADNI_T1W_0438/ADNI_T1W_0438_T1W_3T.nii.gz	adni:ADNI_T1W_0438
ADNI_T1W_0439	adni	ADNI_T1W_0439	T1W	1.5T	3T	data/adni/ADNI_T1W_0439/ADNI_T1W_0439_T1W_1.5T.nii.gz	adni:ADNI_T1W_0439
ADNI_T1W_0439	adni	ADNI_T1W_0439	T1W	3T	1.5T	data/adni/ADNI_T1W_0439/ADNI_T1W_0439_T1W_3T.nii.gz	adni:ADNI_T1W_0439
ADNI_T1W_0440	adni	ADNI_T1W_0440	T1W	1.5T	3T	data/adni/ADNI_T1W_0440/ADNI_T1W_0440_T1W_1.5T.nii.gz	adni:ADNI_T1W_0440
ADNI_T1W_0440	adni	ADNI_T1W_0440	T1W	3T	1.5T	data/adni/ADNI_T1W_0440/ADNI_T1W_0440_T1W_3T.nii.gz	adni:ADNI_T1W_0440
ADNI_T1W_0441	adni	ADNI_T1W_0441	T1W	1.5T	3T	data/adni/ADNI_T1W_0441/ADNI_T1W_0441_T1W_1.5T.nii.gz	adni:ADNI_T1W_0441
ADNI_T1W_0441	adni	ADNI_T1W_0441	T1W	3T	1.5T	data/adni/ADNI_T1W_0441/ADNI_T1W_0441_T1W_3T.nii.gz	adni:ADNI_T1W_0441
ADNI_T1W_0442	adni	ADNI_T1W_0442	T1W	1.5T	3T	data/adni/ADNI_T1W_0442/ADNI_T1W_0442_T1W_1.5T.nii.gz	adni:ADNI_T1W_0442
ADNI_T1W_0442	adni	ADNI_T1W_0442	T1W	3T	1.5T	data/adni/ADNI_T1W_0442/ADNI_T1W_0442_T1W_3T.nii.gz	adni:ADNI_T1W_0442
ADNI_T1W_0443	adni	ADNI_T1W_0443	T1W	1.5T	3T	data/adni/ADNI_T1W_0443/ADNI_T1W_0443_T1W_1.5T.nii.gz	adni:ADNI_T1W_0443
ADNI_T1W_0443	adni	ADNI_T1W_0443	T1W	3T	1.5T	data/adni/ADNI_T1W_0443/ADNI_T1W_0443_T1W_3T.nii.gz	adni:ADNI_T1W_0443
ADNI_T1W_0444	adni	ADNI_T1W_0444	T1W	1.5T	3T	data/adni/ADNI_T1W_0444/ADNI_T1W_0444_T1W_1.5T.nii.gz	adni:ADNI_T1W_0444
ADNI_T1W_0444	adni	ADNI_T1W_0444	T1W	3T	1.5T	data/adni/ADNI_T1W_0444/ADNI_T1W_0444_T1W_3T.nii.gz	adni:ADNI_T1W_0444
ADNI_T1W_0445	adni	ADNI_T1W_0445	T1W	1.5T	3T	data/adni/ADNI_T1W_0445/ADNI_T1W_0445_T1W_1.5T.nii.gz	adni:ADNI_T1W_0445
ADNI_T1W_0445	adni	ADNI_T1W_0445	T1W	3T	1.5T	data/adni/ADNI_T1W_0445/ADNI_T1W_0445_T1W_3T.nii.gz	adni:ADNI_T1W_0445
ADNI_T1W_0446	adni	ADNI_T1W_0446	T1W	1.5T	3T	data/adni/ADNI_T1W_0446/ADNI_T1W_0446_T1W_1.5T.nii.gz	adni:ADNI_T1W_0446
ADNI_T1W_0446	adni	ADNI_T1W_0446	T1W	3T	1.5T	data/adni/ADNI_T1W_0446/ADNI_T1W_0446_T1W_3T.nii.gz	adni:ADNI_T1W_0446
ADNI_T1W_0447	adni	ADNI_T1W_0447	T1W	1.5T	3T	data/adni/ADNI_T1W_0447/ADNI_T1W_0447_T1W_1.5T.nii.gz	adni:ADNI_T1W_0447
ADNI_T1W_0447	adni	ADNI_T1W_0447	T1W	3T	1.5T	data/adni/ADNI_T1W_0447/ADNI_T1W_0447_T1W_3T.nii.gz	adni:ADNI_T1W_0447
FG_001	figshare_26075713	FG_001	T1W	3T	7T	data/figshare_26075713/FG_001/FG_001_T1W_3T.nii.gz	figshare_26075713:FG_001
FG_001	figshare_26075713	FG_001	T1W	7T	3T	data/figshare_26075713/FG_001/FG_001_T1W_7T.nii.gz	figshare_26075713:FG_001
FG_001	figshare_26075713	FG_001	T2W	3T	7T	data/figshare_26075713/FG_001/FG_001_T2W_3T.nii.gz	figshare_26075713:FG_001
FG_001	figshare_26075713	FG_001	T2W	7T	3T	data/figshare_26075713/FG_001/FG_001_T2W_7T.nii.gz	figshare_26075713:FG_001
FG_002	figshare_26075713	FG_002	T1W	3T	7T	data/figshare_26075713/FG_002/FG_002_T1W_3T.nii.gz	figshare_26075713:FG_002
FG_002	figshare_26075713	FG_002	T1W	7T	3T	data/figshare_26075713/FG_002/FG_002_T1W_7T.nii.gz	figshare_26075713:FG_002
FG_002	figshare_26075713	FG_002	T2W	3T	7T	data/figshare_26075713/FG_002/FG_002_T2W_3T.nii.gz	figshare_26075713:FG_002
FG_002	figshare_26075713	FG_002	T2W	7T	3T	data/figshare_26075713/FG_002/FG_002_T2W_7T.nii.gz	figshare_26075713:FG_002
FG_003	figshare_26075713	FG_003	T1W	3T	7T	data/figshare_26075713/FG_003/FG_003_T1W_3T.nii.gz	figshare_26075713:FG_003
FG_003	figshare_26075713	FG_003	T1W	7T	3T	data/figshare_26075713/FG_003/FG_003_T1W_7T.nii.gz	figshare_26075713:FG_003
FG_003	figshare_26075713	FG_003	T2W	3T	7T	data/figshare_26075713/FG_003/FG_003_T2W_3T.nii.gz	figshare_26075713:FG_003
FG_003	figshare_26075713	FG_003	T2W	7T	3T	data/figshare_26075713/FG_003/FG_003_T2W_7T.nii.gz	figshare_26075713:FG_003
FG_004	figshare_26075713	FG_004	T1W	3T	7T	data/figshare_26075713/FG_004/FG_004_T1W_3T.nii.gz	figshare_26075713:FG_004
FG_004	figshare_26075713	FG_004	T1W	7T	3T	data/figshare_26075713/FG_004/FG_004_T1W_7T.nii.gz	figshare_26075713:FG_004
FG_004	figshare_26075713	FG_004	T2W	3T	7T	data/figshare_26075713/FG_004/FG_004_T2W_3T.nii.gz	figshare_26075713:FG_004
FG_004	figshare_26075713	FG_004	T2W	7T	3T	data/figshare_26075713/FG_004/FG_004_T2W_7T.nii.gz	figshare_26075713:FG_004
FG_005	figshare_26075713	FG_005	T1W	3T	7T	data/figshare_26075713/FG_005/FG_005_T1W_3T.nii.gz	figshare_26075713:FG_005
FG_005	figshare_26075713	FG_005	T1W	7T	3T	data/figshare_26075713/FG_005/FG_005_T1W_7T.nii.gz	figshare_26075713:FG_005
FG_005	figshare_26075713	FG_005	T2W	3T	7T	data/figshare_26075713/FG_005/FG_005_T2W_3T.nii.gz	figshare_26075713:FG_005
FG_005	figshare_26075713	FG_005	T2W	7T	3T	data/figshare_26075713/FG_005/FG_005_T2W_7T.nii.gz	figshare_26075713:FG_005
FG_006	figshare_26075713	FG_006	T1W	3T	7T	data/figshare_26075713/FG_006/FG_006_T1W_3T.nii.gz	figshare_26075713:FG_006
FG_006	figshare_26075713	FG_006	T1W	7T	3T	data/figshare_26075713/FG_006/FG_006_T1W_7T.nii.gz	figshare_26075713:FG_006
FG_006	figshare_26075713	FG_006	T2W	3T	7T	data/figshare_26075713/FG_006/FG_006_T2W_3T.nii.gz	figshare_26075713:FG_006
FG_006	figshare_26075713	FG_006	T2W	7T	3T	data/figshare_26075713/FG_006/FG_006_T2W_7T.nii.gz	figshare_26075713:FG_006
FG_007	figshare_26075713	FG_007	T1W	3T	7T	data/figshare_26075713/FG_007/FG_007_T1W_3T.nii.gz	figshare_26075713:FG_007
FG_007	figshare_26075713	FG_007	T1W	7T	3T	data/figshare_26075713/FG_007/FG_007_T1W_7T.nii.gz	figshare_26075713:FG_007
FG_007	figshare_26075713	FG_007	T2W	3T	7T	data/figshare_26075713/FG_007/FG_007_T2W_3T.nii.gz	figshare_26075713:FG_007
FG_007	figshare_26075713	FG_007	T2W	7T	3T	data/figshare_26075713/FG_007/FG_007_T2W_7T.nii.gz	figshare_26075713:FG_007
FG_008	figshare_26075713	FG_008	T1W	3T	7T	data/figshare_26075713/FG_008/FG_008_T1W_3T.nii.gz	figshare_26075713:FG_008
FG_008	figshare_26075713	FG_008	T1W	7T	3T	data/figshare_26075713/FG_008/FG_008_T1W_7T.nii.gz	figshare_26075713:FG_008
FG_008	figshare_26075713	FG_008	T2W	3T	7T	data/figshare_26075713/FG_008/FG_008_T2W_3T.nii.gz	figshare_26075713:FG_008
FG_008	figshare_26075713	FG_008	T2W	7T	3T	data/figshare_26075713/FG_008/FG_008_T2W_7T.nii.gz	figshare_26075713:FG_008
FG_009	figshare_26075713	FG_009	T1W	3T	7T	data/figshare_26075713/FG_009/FG_009_T1W_3T.nii.gz	figshare_26075713:FG_009
FG_009	figshare_26075713	FG_009	T1W	7T	3T	data/figshare_26075713/FG_009/FG_009_T1W_7T.nii.gz	figshare_26075713:FG_009
FG_009	figshare_26075713	FG_009	T2W	3T	7T	data/figshare_26075713/FG_009/FG_009_T2W_3T.nii.gz	figshare_26075713:FG_009
FG_009	figshare_26075713	FG_009	T2W	7T	3T	data/figshare_26075713/FG_009/FG_009_T2W_7T.nii.gz	figshare_26075713:FG_009
FG_010	figshare_26075713	FG_010	T1W	3T	7T	data/figshare_26075713/FG_010/FG_010_T1W_3T.nii.gz	figshare_26075713:FG_010
FG_010	figshare_26075713	FG_010	T1W	7T	3T	data/figshare_26075713/FG_010/FG_010_T1W_7T.nii.gz	figshare_26075713:FG_010
FG_010	figshare_26075713	FG_010	T2W	3T	7T	data/figshare_26075713/FG_010/FG_010_T2W_3T.nii.gz	figshare_26075713:FG_010
FG_010	figshare_26075713	FG_010	T2W	7T	3T	data/figshare_26075713/FG_010/FG_010_T2W_7T.nii.gz	figshare_26075713:FG_010
FG_011	figshare_26075713	FG_011	T1W	3T	7T	data/figshare_26075713/FG_011/FG_011_T1W_3T.nii.gz	figshare_26075713:FG_011
FG_011	figshare_26075713	FG_011	T1W	7T	3T	data/figshare_26075713/FG_011/FG_011_T1W_7T.nii.gz	figshare_26075713:FG_011
FG_011	figshare_26075713	FG_011	T2W	3T	7T	data/figshare_26075713/FG_011/FG_011_T2W_3T.nii.gz	figshare_26075713:FG_011
FG_011	figshare_26075713	FG_011	T2W	7T	3T	data/figshare_26075713/FG_011/FG_011_T2W_7T.nii.gz	figshare_26075713:FG_011
FG_012	figshare_26075713	FG_012	T1W	3T	7T	data/figshare_26075713/FG_012/FG_012_T1W_3T.nii.gz	figshare_26075713:FG_012
FG_012	figshare_26075713	FG_012	T1W	7T	3T	data/figshare_26075713/FG_012/FG_012_T1W_7T.nii.gz	figshare_26075713:FG_012
FG_012	figshare_26075713	FG_012	T2W	3T	7T	data/figshare_26075713/FG_012/FG_012_T2W_3T.nii.gz	figshare_26075713:FG_012
FG_012	figshare_26075713	FG_012	T2W	7T	3T	data/figshare_26075713/FG_012/FG_012_T2W_7T.nii.gz	figshare_26075713:FG_012
FG_013	figshare_26075713	FG_013	T1W	3T	7T	data/figshare_26075713/FG_013/FG_013_T1W_3T.nii.gz	figshare_26075713:FG_013
FG_013	figshare_26075713	FG_013	T1W	7T	3T	data/figshare_26075713/FG_013/FG_013_T1W_7T.nii.gz	figshare_26075713:FG_013
FG_013	figshare_26075713	FG_013	T2W	3T	7T	data/figshare_26075713/FG_013/FG_013_T2W_3T.nii.gz	figshare_26075713:FG_013
FG_013	figshare_26075713	FG_013	T2W	7T	3T	data/figshare_26075713/FG_013/FG_013_T2W_7T.nii.gz	figshare_26075713:FG_013
FG_014	figshare_26075713	FG_014	T1W	3T	7T	data/figshare_26075713/FG_014/FG_014_T1W_3T.nii.gz	figshare_26075713:FG_014
FG_014	figshare_26075713	FG_014	T1W	7T	3T	data/figshare_26075713/FG_014/FG_014_T1W_7T.nii.gz	figshare_26075713:FG_014
FG_014	figshare_26075713	FG_014	T2W	3T	7T	data/figshare_26075713/FG_014/FG_014_T2W_3T.nii.gz	figshare_26075713:FG_014
FG_014	figshare_26075713	FG_014	T2W	7T	3T	data/figshare_26075713/FG_014/FG_014_T2W_7T.nii.gz	figshare_26075713:FG_014
FG_015	figshare_26075713	FG_015	T1W	3T	7T	data/figshare_26075713/FG_015/FG_015_T1W_3T.nii.gz	figshare_26075713:FG_015
FG_015	figshare_26075713	FG_015	T1W	7T	3T	data/figshare_26075713/FG_015/FG_015_T1W_7T.nii.gz	figshare_26075713:FG_015
FG_015	figshare_26075713	FG_015	T2W	3T	7T	data/figshare_26075713/FG_015/FG_015_T2W_3T.nii.gz	figshare_26075713:FG_015
FG_015	figshare_26075713	FG_015	T2W	7T	3T	data/figshare_26075713/FG_015/FG_015_T2W_7T.nii.gz	figshare_26075713:FG_015
FG_016	figshare_26075713	FG_016	T1W	3T	7T	data/figshare_26075713/FG_016/FG_016_T1W_3T.nii.gz	figshare_26075713:FG_016
FG_016	figshare_26075713	FG_016	T1W	7T	3T	data/figshare_26075713/FG_016/FG_016_T1W_7T.nii.gz	figshare_26075713:FG_016
FG_016	figshare_26075713	FG_016	T2W	3T	7T	data/figshare_26075713/FG_016/FG_016_T2W_3T.nii.gz	figshare_26075713:FG_016
FG_016	figshare_26075713	FG_016	T2W	7T	3T	data/figshare_26075713/FG_016/FG_016_T2W_7T.nii.gz	figshare_26075713:FG_016
